00,09
00,01
01,10
09,10
01,02
02,11
11,10
09,24
24,25
10,16
16,25
25,33
33,32
32,48
48,57
57,58
58,49
58,59
59,50
50,49
49,48
49,40
40,33
16,17
17,26
26,27
27,35
35,34
34,41
41,40
27,18
18,19
19,20
20,21
21,13
13,03
03,04
04,07
07,08
08,05
05,06
06,31
31,30
30,23
23,22
22,14
14,15
15,08
31,39
39,63
63,62
62,56
56,54
54,53
53,46
46,47
47,38
38,39
21,28
28,29
29,22
29,37
37,46
37,36
36,45
45,52
52,53
52,60
60,61
61,55
55,56
11,12
12,19
12,13
13,14
45,44
20,44
44,43
43,42
42,35
43,51
50,51
51,52
51,65
12,64
